Program Time [s],data 0
31.2255,9.81148
31.2375,9.81148
31.2495,9.7995
31.2615,9.84501
31.2735,9.78753
31.2855,9.8019
31.2975,9.82585
31.3095,9.81866
31.3215,9.80669
31.3335,9.77076
31.3455,9.73723
31.3575,9.84261
31.3695,9.81627
31.3815,9.78513
31.3935,9.82824
31.4055,9.78274
31.4175,9.81627
31.4295,9.82345
31.4415,9.81148
31.4535,9.74921
31.4655,9.81866
31.4775,9.78992
31.4895,9.81387
31.5015,9.86656
31.5135,9.81387
31.5255,9.80669
31.5375,9.83304
31.5495,9.83543
31.5615,9.76597
31.5735,9.79711
31.5855,9.81866
31.5975,9.80669
31.6095,9.88573
31.6215,9.79232
31.6335,9.7995
31.6456,9.81387
31.6575,9.82345
31.6695,9.77795
31.6815,9.83304
31.6935,9.83304
31.7055,9.8019
31.7175,9.8474
31.7295,9.80669
31.7415,9.79711
31.7535,9.78034
31.7655,9.82345
31.7775,9.79471
31.7895,9.83304
31.8015,9.78992
31.8135,9.83782
31.8255,9.80669
31.8375,9.81148
31.8495,9.85938
31.8615,9.77316
31.8735,9.81148
31.8855,9.79232
31.8975,9.8019
31.9095,9.83064
31.9215,9.77076
31.9335,9.85938
31.9455,9.81627
31.9575,9.79232
31.9695,9.78992
31.9815,9.83304
31.9935,9.83064
32.0055,9.82106
32.0175,9.76358
32.0295,9.78753
32.0415,9.79471
32.0535,9.76358
32.0655,9.72765
32.0775,9.81627
32.0895,9.83064
32.1015,9.83304
32.1135,9.7995
32.1255,9.83064
32.1375,9.84261
32.1496,9.76118
32.1615,9.79471
32.1735,9.78034
32.1855,9.82824
32.1975,9.81387
32.2095,9.78274
32.2215,9.79471
32.2335,9.76597
32.2455,9.82345
32.2575,9.77555
32.2695,9.8019
32.2815,9.81387
32.2935,9.78753
32.3055,9.78034
32.3175,9.78753
32.3295,9.82106
32.3415,9.84261
32.3535,9.83304
32.3655,9.85698
32.3775,9.7995
32.3895,9.80429
32.4015,9.79232
32.4135,9.76358
32.4255,9.78753
32.4375,9.82824
32.4495,9.87614
32.4615,9.82106
32.4735,9.77795
32.4855,9.83064
32.4975,9.76837
32.5095,9.80429
32.5215,9.74681
32.5335,9.85938
32.5455,9.80908
32.5575,9.81627
32.5695,9.78992
32.5815,9.78513
32.5935,9.84261
32.6055,9.85219
32.6175,9.76358
32.6295,9.76837
32.6415,9.77316
32.6535,9.67017
32.6655,9.80429
32.6775,9.72286
32.6895,9.82345
32.7015,9.79232
32.7135,9.79711
32.7254,9.83782
32.7375,9.78513
32.7495,9.78992
32.7615,9.87135
32.7735,9.78513
32.7855,9.77555
32.7975,9.74442
32.8095,9.81387
32.8215,9.81148
32.8335,9.76358
32.8455,9.79711
32.8575,9.76597
32.8695,9.83543
32.8815,9.78513
32.8935,9.82585
32.9055,9.76358
32.9175,9.78753
32.9295,9.84501
32.9415,9.81148
32.9535,9.79471
32.9655,9.82824
32.9775,9.83782
32.9895,9.8474
33.0015,9.78034
33.0135,9.81627
33.0255,9.7995
33.0375,9.83782
33.0495,9.81866
33.0615,9.76118
33.0735,9.80429
33.0855,9.81387
33.0975,9.77795
33.1095,9.75879
33.1215,9.78034
33.1335,9.80908
33.1455,9.80429
33.1575,9.86896
33.1695,9.79232
33.1815,9.81387
33.1935,9.7995
33.2055,9.7516
33.2174,9.78992
33.2295,9.81148
33.2415,9.87614
33.2535,9.83543
33.2655,9.87854
33.2779,9.78753
33.2895,9.79232
33.3015,9.73963
33.3135,9.78274
33.3255,9.8019
33.3375,9.79471
33.3495,9.82345
33.3615,9.754
33.3735,9.78034
33.3855,9.82106
33.3975,9.77555
33.4095,9.85459
33.4215,9.75879
33.4335,9.81387
33.4455,9.82106
33.4575,9.8019
33.4695,9.81866
33.4815,9.84261
33.4935,9.73723
33.5055,9.7995
33.5175,9.79711
33.5295,9.85219
33.5415,9.8498
33.5535,9.8498
33.5655,9.77316
33.5775,9.76358
33.5895,9.83782
33.6015,9.86177
33.6135,9.83304
33.6255,9.81148
33.6375,9.79471
33.6495,9.75879
33.6615,9.78274
33.6735,9.79471
33.6855,9.81387
33.6975,9.85698
33.7095,9.80429
33.7215,9.8474
33.7335,9.83782
33.7455,9.83543
33.7575,9.8474
33.7695,9.81148
33.7815,9.82106
33.7935,9.82106
33.8055,9.84022
33.8175,9.79232
33.8295,9.85938
33.8415,9.74442
33.8535,9.80429
33.8655,9.82585
33.8775,9.82585
33.8895,9.72765
33.9015,9.73963
33.9135,9.86656
33.9255,9.83064
33.9375,9.86656
33.9495,9.82824
33.9615,9.74921
33.9735,9.85219
33.9855,9.90009
33.9975,9.77555
34.0095,9.80908
34.0215,9.79471
34.0335,9.82345
34.0455,9.7516
